Date,Open,High,Low,Close,Adj Close,Volume,Days
10/12/2018,192.75,193.589996,190.160004,192.470001,173.862106,5450200,167
10/15/2018,192.360001,193.289993,190.699997,191.169998,172.687759,3642800,168
10/16/2018,191.830002,194.080002,190.610001,193.580002,174.864792,4057400,169
10/17/2018,189.639999,190.669998,183.979996,185.169998,167.267838,8985700,170
10/18/2018,184.259995,185.399994,179.529999,180.440002,162.995132,9262000,171
10/19/2018,180.339996,180.990005,178.570007,179.850006,162.462204,7004300,172
10/22/2018,180.820007,181.399994,177.559998,178.75,161.468536,4866700,173
10/23/2018,175.770004,179.490005,175.440002,178.529999,161.269791,7004900,174
10/24/2018,178.580002,182.369995,176.309998,176.970001,159.860596,6791700,175
10/25/2018,177.520004,180.5,176.830002,179.070007,161.757614,5228000,176
10/26/2018,176.880005,177.339996,170.910004,172.229996,155.578857,9472200,177
10/29/2018,173.740005,175.990005,170.949997,173.199997,156.455124,5918400,178
10/30/2018,173.160004,176.429993,172.639999,176.240005,159.201202,5657100,179
10/31/2018,177.979996,178.850006,175.589996,175.880005,158.876038,6339500,180
11/1/2018,176.839996,180.860001,175.899994,180.460007,163.013214,5225300,181
11/2/2018,182.470001,183.009995,177.389999,179.929993,162.53447,4730600,182
11/5/2018,181.020004,182.410004,179.300003,182.190002,164.575958,3885300,183
11/6/2018,181.929993,182.649994,180.050003,182.009995,164.413361,3338800,184
11/7/2018,183.789993,187.679993,182.059998,187.229996,169.128693,4673400,185
11/8/2018,187.130005,188.690002,185.720001,188,169.824219,4054000,186
11/9/2018,188.320007,188.479996,184.960007,185.990005,168.008575,4761100,187
11/12/2018,185.229996,186.949997,179.020004,179.429993,162.082809,7590400,188
11/13/2018,177.300003,181.619995,172.850006,179,161.694382,14274000,189
11/14/2018,182.610001,182.899994,179.149994,179.899994,162.507339,7561100,190
11/15/2018,179.009995,179.669998,173.610001,177.360001,160.212906,8663100,191
11/16/2018,173.990005,177.610001,173.509995,177.020004,159.905823,6834900,192
11/19/2018,176.710007,178.880005,172.300003,173.589996,156.807388,6203400,193
